==4190== NVPROF is profiling process 4190, command: ./odd_even_mergesort_profiling.out
==4190== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4190== Profiling application: ./odd_even_mergesort_profiling.out
==4190== Profiling result:
==4190== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"sm_efficiency","Multiprocessor Activity",30.703950%,44.763067%,37.608213%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"gld_efficiency","Global Memory Load Efficiency",50.000000%,100.000000%,91.176471%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"gst_efficiency","Global Memory Store Efficiency",26.542706%,94.545767%,68.747945%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"warp_execution_efficiency","Warp Execution Efficiency",99.966951%,100.000000%,99.983940%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"inst_per_warp","Instructions per warp",30.010254,51.000000,48.537253
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"gld_transactions","Global Load Transactions",4096,8192,5300
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"gst_transactions","Global Store Transactions",490,8192,3960
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",17,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
