N	Blocks	Threads/Block	T_Par		T_Seq		Speed-Up
1024	1	1024		0.000067s	0.002848s	42.574
2048	2	1024		0.000090s	0.008318s	92.653
4096	4	1024		0.000124s	0.020624s	165.869
8192	8	1024		0.000172s	0.049292s	286.098
16384	16	1024		0.000298s	0.115543s	387.309
32768	32	1024		0.000533s	0.267622s	502.449
65536	64	1024		0.000957s	0.613409s	641.230
131072	128	1024		0.001947s	1.393554s	715.887
262144	256	1024		0.004344s	3.181873s	732.535
524288	512	1024		0.009607s	7.055700s	734.448
1048576	1024	1024		0.021850s	15.671541s	717.238
2097152	2048	1024		0.050016s	34.676534s	693.308
