N	Blocks	Threads/Block	T_Par		T_Seq		Speed-Up
1024	1	512		0.000316s	0.002815s	8.912
2048	1	1024		0.000407s	0.008291s	20.382
4096	2	1024		0.000483s	0.020648s	42.770
8192	4	1024		0.000564s	0.049311s	87.446
16384	8	1024		0.000654s	0.115695s	176.770
32768	16	1024		0.000852s	0.267745s	314.214
65536	32	1024		0.001154s	0.613669s	531.803
131072	64	1024		0.001652s	1.394337s	844.015
262144	128	1024		0.002650s	3.143899s	1186.265
524288	256	1024		0.005399s	7.040845s	1304.092
1048576	512	1024		0.010799s	15.675864s	1451.645
2097152	1024	1024		0.021502s	34.695316s	1613.558
