N	Blocks	Threads/Block	T_Par		T_Seq		Speed-Up
1024	1	512		0.000307s	0.000495s	1.611
2048	1	1024		0.000411s	0.001421s	3.458
4096	2	1024		0.000505s	0.003446s	6.826
8192	4	1024		0.000594s	0.008051s	13.548
16384	8	1024		0.000692s	0.018414s	26.627
32768	16	1024		0.000862s	0.041775s	48.488
65536	32	1024		0.001197s	0.094320s	78.802
131072	64	1024		0.001811s	0.211639s	116.839
262144	128	1024		0.002992s	0.472015s	157.740
524288	256	1024		0.006058s	1.046730s	172.776
1048576	512	1024		0.012004s	2.310835s	192.506
2097152	1024	1024		0.024412s	5.079334s	208.071
