N	Blocks	Threads/Block	T_Par		T_Seq		Speed-Up
1024	1	512		0.005267s	0.002273s	0.432
2048	1	1024		0.011655s	0.009865s	0.846
4096	2	1024		0.023524s	0.038922s	1.655
8192	4	1024		0.047317s	0.159422s	3.369
16384	8	1024		0.094796s	0.685652s	7.233
32768	16	1024		0.220227s	2.951541s	13.402
65536	32	1024		0.518945s	12.357372s	23.812
131072	64	1024		1.304168s	49.934400s	38.288
262144	128	1024		3.730600s	200.096994s	53.637
524288	256	1024		13.294024s	802.225803s	60.345
1048576	512	1024		48.161382s	3205.799893s	66.564
2097152	1024	1024		177.012088s	12806.866061s	72.350
