N	Blocks	Threads/Block	T_Par		T_Seq		Speed-Up
1024	1024	1024		0.000225s	0.005622s	25.024
2048	2048	1024		0.000478s	0.024921s	52.152
4096	4096	1024		0.001385s	0.100273s	72.381
8192	8192	1024		0.007487s	0.400128s	53.444
16384	16384	1024		0.028579s	1.603970s	56.123
32768	32768	1024		0.204630s	6.395191s	31.252
65536	65535	1024		0.810707s	25.618607s	31.600
131072	65535	1024		3.221008s	102.487409s	31.818
262144	65535	1024		12.851653s	409.647292s	31.875
524288	65535	1024		51.933896s	1637.265870s	31.526
1048576	65535	1024		218.519595s	6542.317105s	29.939
2097152	65535	1024		922.311227s	26133.370762s	28.335
